"API Configuration","Konfiguracja API"
"Enabled","Włączony"
"Yes","Tak"
"No","Nie"
"API Key","API Key"
"API Secret","API Secret"
"Product ID in Automater","ID Produktu w Automater"
"No codes for product: %s [%s]","Brak kodów dla produktu: %s [%s]"
"Invalid quantity of product: %s [%s]","Nieprawidłowa ilość dla produktu: %s [%s]"
"No codes for ID: %s","Brak kodów dla ID: %s"
"Not enough codes for ID, sent less: %s","Niewystarczająca liczba kodów dla ID, wysłano mniej: %s"
"Automater.pl codes:","Automater.pl kody:"
"Created cart number: %s","Utworzono koszyk numer: %s"
"Automater.pl payment:","Automater.pl płatność:"
"Paid successfully: %s","Zapłacono poprawnie: %s"
"Order from %s, id: #%s","Zamówienie z %s, id: #%s"
"<h4>Automater.pl integration by <a href=""https://kutyba.it"" target=""_blank"">kutyba.it</a></h4>","<h4>Integracja z Automater.pl od <a href=""https://kutyba.it"" target=""_blank"">kutyba.it</a></h4>"
"Stock Synchronization","Synchronizacja stanów magazynowych"
"Interval","Interwał"
